,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
421,421,M-30,LEUCATE,,,,,,
422,422,M-31,LEUCATE,,,,,,
423,423,Stock Leucate,LEUCATE,,,,,,
424,424,Stock Leucate,LEUCATE,,,,,,
425,425,Stock Leucate,LEUCATE,,,,,,
426,426,Stock Leucate,LEUCATE,,,,,,
427,427,Stock Leucate,LEUCATE,,,,,,
428,428,Stock Leucate,LEUCATE,,,,,,
429,429,Stock Leucate,LEUCATE,,,,,,
430,430,Stock Leucate,LEUCATE,,,,,,
431,431,Stock Leucate,LEUCATE,,,,,,
432,432,Stock Leucate,LEUCATE,,,,,,
433,433,Stock Leucate,LEUCATE,,,,,,
434,434,Stock Leucate,LEUCATE,,,,,,
435,435,Stock Leucate,LEUCATE,,,,,,
436,436,Stock Leucate,LEUCATE,,,,,,
437,437,Stock Leucate,LEUCATE,,,,,,
438,438,Stock Leucate,LEUCATE,,,,,,
439,439,Stock Leucate,LEUCATE,,,,,,
440,440,Stock Leucate,LEUCATE,,,,,,
441,441,Stock Leucate,LEUCATE,,,,,,
442,442,Stock Leucate,LEUCATE,,,,,,
443,443,23-85,LEUCATE,,,,,,
444,444,Stock Leucate,LEUCATE,,,,,,
445,445,,,,,,,,
446,446,Stock Leucate,LEUCATE,,,,,,
447,447,Stock Leucate,LEUCATE,,,,,,
448,448,Stock Leucate,LEUCATE,,,,,,
449,449,Stock Leucate,LEUCATE,,,,,,
450,450,Stock Leucate,LEUCATE,,,,,,
451,451,Stock Leucate,LEUCATE,,,,,,
452,452,Stock Leucate,LEUCATE,,,,,,
453,453,Stock Leucate,LEUCATE,,,,,,
454,454,Stock Leucate,LEUCATE,,,,,,
455,455,Stock Leucate,LEUCATE,,,,,,
456,456,Stock Leucate,LEUCATE,,,,,,
457,457,Stock Leucate,LEUCATE,,,,,,
458,458,Stock Leucate,LEUCATE,,,,,,
459,459,Stock Leucate,LEUCATE,,,,,,
460,460,,,,,,,,
461,461,Stock Leucate,LEUCATE,,,,,,
462,462,Stock Leucate,LEUCATE,,,,,,
463,463,Stock Leucate,LEUCATE,,,,,,
464,464,Stock Leucate,LEUCATE,,,,,,
465,465,Stock Leucate,LEUCATE,,,,,,
466,466,Stock Leucate,LEUCATE,,,,,,
467,467,Stock Leucate,LEUCATE,,,,,,
468,468,Stock Leucate,LEUCATE,,,,,,
469,469,Stock Leucate,LEUCATE,,,,,,
470,470,Stock Leucate,LEUCATE,,,,,,
471,471,Stock Leucate,LEUCATE,,,,,,
472,472,Stock Leucate,LEUCATE,,,,,,
473,473,Stock Leucate,LEUCATE,,,,,,
474,474,Stock Leucate,LEUCATE,,,,,,
475,475,Stock Leucate,LEUCATE,,,,,,
476,476,Stock Leucate,LEUCATE,,,,,,
477,477,Stock Leucate,LEUCATE,,,,,,
478,478,,,,,,,,
479,479,Stock Leucate,LEUCATE,,,,,,
480,480,Stock Leucate,LEUCATE,,,,,,
481,481,B-07,ILE D'YEU,ok,,,,,
482,482,B-08,ILE D'YEU,ok,,,,,
483,483,D-18,ILE D'YEU,ok,,,,,
484,484,D-14,ILE D'YEU,ok,,,,,
485,485,H-36,LA GRANDE MOTTE,1128,ok,ok,,,
486,486,H-17,LA GRANDE MOTTE,923,ok,ok,,,
487,487,H-37,LA GRANDE MOTTE,581,ok,,,28,Le Brusc
488,488,H-19,LA GRANDE MOTTE,1026,ok par l'avant,ok,,,
489,489,H-31,LA GRANDE MOTTE,1026,Ok,ok mais checker 855 à 253 sur 1ère mesure,,,
490,490,H-35,LA GRANDE MOTTE,1026,ok par l'avant,ok mais checker 684 à 254 sur 1ère mesure,,,
491,491,H-38,LA GRANDE MOTTE,821,ok,ok,,,
492,492,H-01,LA GRANDE MOTTE,1060,ok,ok,,,
493,493,H-30,LA GRANDE MOTTE,1436,ok,ok,,,
494,494,H-26,LA GRANDE MOTTE,1026,ok,ok,,,
495,495,H-24,LA GRANDE MOTTE,1026,ok par l'avant,ok,,,
496,496,H-29,LA GRANDE MOTTE,1333,ok,ok à 2291,,,
497,497,H-23,LA GRANDE MOTTE,1710,ok,ok,,,
498,498,H-34,LA GRANDE MOTTE,1026,ok par l'avant,ok mais checker 342 à 218 sur 1ère mesure,,,
499,499,H-33,LA GRANDE MOTTE,1060,ok,ok,,,
500,500,Stock Leucate,LEUCATE,,,,,,
501,501,Stock Leucate,LEUCATE,,,,,,
502,502,Stock Leucate,LEUCATE,,,,,,
503,503,Stock Leucate,LEUCATE,,,,,,
504,504,Stock Leucate,LEUCATE,,,,,,
505,505,Stock LGM,LA GRANDE MOTTE,,,,,,
506,506,H-27,LA GRANDE MOTTE,889,ok,ok,,,
507,507,H-20,LA GRANDE MOTTE,1026,ok,ok,,,
508,508,Stock LGM,LA GRANDE MOTTE,,,,,,
509,509,Stock Leucate,LEUCATE,,,,,,
510,510,H-25,LA GRANDE MOTTE,581,ok,ok,,,
511,511,H-21,LA GRANDE MOTTE,1368,ok,ok,,,
512,512,Stock Leucate,LEUCATE,,,,,,
513,513,Stock Leucate,LEUCATE,,,,,,
514,514,Stock Leucate,LEUCATE,,,,,,
515,515,Stock Leucate,LEUCATE,,,,,,
516,516,Stock Leucate,LEUCATE,,,,,,
517,517,Stock LGM,LA GRANDE MOTTE,,,,,,
518,518,H-39,LA GRANDE MOTTE,vide,,ok,,,
519,519,H-28,LA GRANDE MOTTE,889,ok,ok,,,
520,520,H-18,LA GRANDE MOTTE,1470,vérifier si bateau ?,ok,,,
521,521,Stock Leucate,LEUCATE,,,,,,
522,522,H-29,LA GRANDE MOTTE,376 à 253,vérifier si bateau ?,ok,,,
523,523,Stock Leucate,LEUCATE,,,,,,
524,524,Stock Leucate,LEUCATE,,,,,,
525,525,M-32,LEUCATE,,,,,,
526,526,Stock Leucate,LEUCATE,,,,,,
527,527,M-33,LEUCATE,,,,,,
528,528,Stock Leucate,LEUCATE,,,,,,
529,529,H-22,LA GRANDE MOTTE,vide,,OK mais premier echo à 376 valeur 248,,,
530,530,H-32,LA GRANDE MOTTE,752,ok,ok,,,
531,531,Stock Leucate,LEUCATE,,,,,,
532,532,Stock Leucate,LEUCATE,,,,,,
533,533,Stock Leucate,LEUCATE,,,,,,
534,534,Stock Leucate,LEUCATE,,,,,,
535,535,Stock Leucate,LEUCATE,,,,,,
536,536,Stock Leucate,LEUCATE,,,,,,
537,537,Stock Leucate,LEUCATE,,,,,,
538,538,M-34,LEUCATE,,,,,,
539,539,M-35,LEUCATE,,,,,,
540,540,Stock Leucate,LEUCATE,,,,,,
541,541,Stock Leucate,LEUCATE,,,,,,
